language,id,text,file,node,lineNumber,lock,comment
en,line:0278c08,Player: Hello,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,NPC,15,6443b3bd,
en,line:0b447a5,"NPC: Hello, this is a sample showing off the localization",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,NPC,17,6d62efd6,Line metadata: lastline
en,line:0909db8,Neat,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,NPC,18,4fdc1c84,
en,line:0c80885,"Player: great idea, I like it!",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,NPC,19,0aea84bf,
en,line:0eadbfb,NPC: right?,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,NPC,21,67d2c3e8,
en,line:003c677,Dull,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,NPC,22,8e6f6598,
en,line:0ea3fe2,Player: kinda dull and boring to be honest,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,NPC,23,f5f482ae,
en,line:0c6804e,NPC: rude!,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,NPC,25,71b54ea8,
en,line:05f1e20,"Heks: Oh mijn dierbare regent, je was me niet vergeten... of wel?",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Beginning,32,ba996043,
en,line:06e55a8,Heks:Heb je mijn hulp nodig om je te helpen herrineren dat dit niet een normale wandeling door je koningkrijk is?,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Beginning,33,5fbd0d43,
en,line:0f1e33d,Heks: ik raad je aan je acties goed te overwegen.,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Beginning,34,629a642f,
en,line:0846b47,"Heks: kom aan, ik heb mijn oog op je...",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Beginning,35,65861601,
en,line:0d3680c,"Baker: ""Where do you think you're going with that bread? You have to pay for that!""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,RegularStreet,42,daf8390d,
