language,id,text,file,node,lineNumber,lock,comment
nl,line:02f2c0e,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Beginning,32,ba996043,
nl,line:069a901,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Beginning,33,5fbd0d43,
nl,line:08c413f,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Beginning,34,629a642f,
nl,line:004bbae,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Beginning,35,65861601,
nl,line:0403adc,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,RegularStreet,40,daf8390d,
nl,line:0c1b9b7,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,RegularStreet,41,0d49d8ea,
nl,line:0931e63,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,RegularStreet,42,c17fdf6d,
nl,line:08dbf4a,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,RegularStreet,43,df212a86,
nl,line:0cd0985,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,RegularStreet,44,60dff964,
nl,line:0318a5a,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,RegularStreet,46,36201b81,
nl,line:0201b91,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,intervene,51,fae09499,
nl,line:0f4a05d,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,intervene,52,d54b22af,
nl,line:056d6f7,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,intervene,53,fc88103c,Line metadata: lastline
nl,line:02e93db,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,intervene,54,a7498281,
nl,line:07f412a,,C:\Users\edewa\Desktop\CMGT\Narrative design\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,intervene,55,829aaa8a,
